صابر|صبر کرنے والا۔
صالح|نیک-پرہیزگار۔
صامت|خاموش-چپ چاپ۔
صبر|برداشت-تاتل۔
صبیح|گورا-خوبصورت۔
صبور|گنہگاروں پر نرمی کرنے والا۔
صحرا|بیابان-ریگستان۔
صحیح|درست-پورا۔
صحن|آنگن۔
صدقہ|خیرات-اتارہ-قربان-بدولت۔
صدمہ|دھکا-تکلیف۔
صدا|آواز۔
صرف|اکیلا-فقط۔
صریح|صاف-علانیہ۔
صریر|قلم چلنے کی آواز۔
صعوبت|تکلیف-مصیبت۔
صعود|بلندی پر چڑھنا۔
صغر|چھٹائ-چھوٹاپن۔
صف|قطار-فرش۔
صفت|تعریف-خاصیت-وہ اسم جس سے کسی چیز کی خاصیت معلوم ہو۔
صفیر|پرندوں کی آواز-سیٹی۔
صلا|پکار-دعوت۔
صلاح|مشورہ-راۓ۔
صلاحیت|سمجھ-اہلیت۔
صمیم|سچا-مخلص۔
صنف|نوع-جنس-قسم۔
صناع|بہت بڑا کاریگر۔
صنعت|کاریگری-دستکاری۔
صواب|نیکی-درستی۔
صورت|شکل-تصویر-تدبیر۔
صورتحال|معاملہ-کیفیت۔
صہبا|ایک قسم کی لال شراب۔
صیقل|صفائ-چمک۔
صیاد|شکاری۔
صید|شکار-وہ جانور جس کا شکار کریں۔
صوری|ظاہری۔
صوم|روزہ۔
صلوۃ|نماز۔
صفا|پاک-کھرا-مکہ شریف کی ایک پہاڑی۔
صراف|مہاجن-ساہوکار۔
صرصر|آندھی-جھکڑ۔
صبح|سویرا-سحر۔
صحافی|اجبارنویس۔
صادق|سچا-موزوں۔
صاف|کھرا-خالص-اجلا-قطعی-واضح-ٹھیک۔
صراحت|تشریح-وضاحت۔
صوفی|اونی کپڑا پہننے والا-متقی۔
صنم|بت۔
صباحت|گوراپن۔
صحرائ|جنگلی-بیابانی۔
ضالبط|ضبط کرنے والا۔
ضابطہ|قانون-عملدرآمد-آئین۔
ضامنی|کفالت-ذمہداری۔
ضائع|برباد-اکارت-نکما-غارت۔
ضال|گمراہ-بھٹکا ہوا۔
ضبط|انتقام-نبدوبست-حوش کی روک تھام۔
ضحک|ہنسنا-ایران کا ایک ظالم بادشاہ۔
ضحاک|ہنسنے والا۔	
ضخامت|جسامت-حجم-لمبائ،چوڑائ اور موٹائ۔
ضخیم|جسیم-موٹا۔
ضد|ہٹ-اصرار-سینہزوری-مخالف-الٹ-برعکس۔
ضدی|ہٹی-شرکش۔
صدین|دو برعکس جیزیں۔
